participantID,round,order_llm,order_human,demand,price,cost,mode,context_num
1,16,180,127,210,12,9,direct,15
1,17,160,98,157,12,9,direct,15
1,18,170,100,172,12,9,direct,15
1,19,120,102,80,12,9,direct,15
1,20,120,99,82,12,9,direct,15
1,21,200,95,236,12,9,direct,15
1,22,60,99,2,12,9,direct,15
1,23,220,90,233,12,9,direct,15
1,24,230,93,244,12,9,direct,15
1,25,190,97,208,12,9,direct,15
1,26,50,155,9,12,9,direct,15
1,27,130,92,122,12,9,direct,15
1,28,240,120,252,12,9,direct,15
1,29,230,120,240,12,9,direct,15
1,30,140,127,107,12,9,direct,15
4,16,200,150,210,12,9,direct,15
4,17,200,120,157,12,9,direct,15
4,18,200,180,172,12,9,direct,15
4,19,180,150,80,12,9,direct,15
4,20,180,220,82,12,9,direct,15
4,21,200,200,236,12,9,direct,15
4,22,150,200,2,12,9,direct,15
4,23,200,175,233,12,9,direct,15
4,24,200,175,244,12,9,direct,15
4,25,200,150,208,12,9,direct,15
4,26,150,160,9,12,9,direct,15
4,27,180,140,122,12,9,direct,15
4,28,200,130,252,12,9,direct,15
4,29,200,140,240,12,9,direct,15
4,30,180,150,107,12,9,direct,15
6,16,240,80,210,12,9,direct,15
6,17,240,80,157,12,9,direct,15
6,18,240,80,172,12,9,direct,15
6,19,240,80,80,12,9,direct,15
6,20,240,80,82,12,9,direct,15
6,21,240,80,236,12,9,direct,15
6,22,240,80,2,12,9,direct,15
6,23,240,80,233,12,9,direct,15
6,24,240,80,244,12,9,direct,15
6,25,240,80,208,12,9,direct,15
6,26,240,80,9,12,9,direct,15
6,27,240,80,122,12,9,direct,15
6,28,240,80,252,12,9,direct,15
6,29,240,80,240,12,9,direct,15
6,30,240,80,107,12,9,direct,15
8,16,150,180,281,12,3,direct,15
8,17,150,200,260,12,3,direct,15
8,18,150,300,13,12,3,direct,15
8,19,150,300,275,12,3,direct,15
8,20,150,300,106,12,3,direct,15
8,21,150,300,155,12,3,direct,15
8,22,150,300,233,12,3,direct,15
8,23,150,300,12,12,3,direct,15
8,24,150,300,167,12,3,direct,15
8,25,150,300,146,12,3,direct,15
8,26,150,300,87,12,3,direct,15
